               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 145,            0.022686,            0.034028,           0.0054459,             0.97972,              0.9019,             0.93125,             0.80138,            0.017569,            0.026714,           0.0055715,            0.005248,            0.005248,            0.005248
                 146,            0.022975,            0.033667,           0.0054795,             0.98521,             0.90207,             0.93049,             0.80049,            0.017581,            0.026772,           0.0054407,            0.005215,            0.005215,            0.005215
                 147,            0.022715,            0.033461,            0.005254,             0.98218,             0.90117,             0.92935,             0.79871,            0.017671,            0.026902,           0.0053953,            0.005182,            0.005182,            0.005182
                 148,            0.022943,            0.033881,            0.005544,             0.98109,             0.90826,             0.93073,             0.80326,            0.017645,            0.027063,           0.0053778,            0.005149,            0.005149,            0.005149
                 149,            0.022376,             0.03243,           0.0052893,             0.98389,             0.90477,             0.93009,             0.80574,            0.017494,             0.02703,           0.0054714,            0.005116,            0.005116,            0.005116
                 150,            0.022457,            0.033083,            0.005195,             0.98211,             0.90645,             0.93032,             0.80293,            0.017534,            0.026499,           0.0054193,            0.005083,            0.005083,            0.005083
                 151,            0.023046,             0.03417,           0.0054205,             0.98011,             0.90263,             0.92894,             0.80361,             0.01756,            0.026463,           0.0055748,             0.00505,             0.00505,             0.00505
                 152,            0.022364,            0.033777,           0.0052201,             0.98523,             0.90656,              0.9302,             0.80209,            0.017528,            0.026782,           0.0053899,            0.005017,            0.005017,            0.005017
                 153,            0.022177,             0.03281,            0.005097,              0.9833,             0.90638,             0.92963,             0.80394,            0.017499,             0.02676,           0.0053362,            0.004984,            0.004984,            0.004984
                 154,            0.022247,            0.032727,           0.0052544,              0.9816,             0.90775,              0.9313,             0.80218,            0.017429,            0.026329,           0.0053525,            0.004951,            0.004951,            0.004951
                 155,            0.022086,            0.033052,           0.0050965,             0.98187,             0.90454,             0.93157,             0.80514,            0.017327,            0.026234,           0.0053739,            0.004918,            0.004918,            0.004918
                 156,            0.022283,            0.032857,           0.0052167,             0.98299,             0.90676,             0.93187,             0.80691,            0.017322,            0.026518,            0.005236,            0.004885,            0.004885,            0.004885
                 157,            0.021733,            0.032617,           0.0049112,             0.98039,             0.90638,             0.93116,             0.80517,            0.017509,            0.026354,           0.0051913,            0.004852,            0.004852,            0.004852
